episode,step,action_0,action_1,action_2,action_3,reward_reach,reward_grasp,reward_lift,reward_transport,bonus_first_lift,bonus_first_target,bonus_place,penalty_drop,penalty_push,penalty_off_table,penalty_jerk,reward_success,total
0,0,0.4024454951286316,0.9125120043754578,0.4882521331310272,-0.08308234810829163,0.19986007328778754,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.012399333715438844,0.0,0.1874607395723487
0,1,0.2955075204372406,0.6899677515029907,0.8329125642776489,0.9587692022323608,0.2048945093910045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01265207052230835,0.0,0.19224243886869616
0,2,0.793251097202301,-0.48308634757995605,-0.3338218927383423,0.06443463265895844,0.20634690459315397,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03784908056259156,0.0,0.1684978240305624
0,3,-0.6303256750106812,0.6163219213485718,-0.12967412173748016,0.7563887238502502,0.21190959228926654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03755746364593506,0.0,0.17435212864333147
0,4,-0.027194390073418617,-0.9503268003463745,0.34667301177978516,0.7420412302017212,0.21502516097933677,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.030452678203582766,0.0,0.184572482775754
0,5,-0.12089420855045319,-0.8336489200592041,0.6647232174873352,-0.8273745775222778,0.20643915103748822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025866150856018066,0.0,0.18057300018147016
0,6,0.3545364737510681,0.37949326634407043,-0.5051417350769043,-0.0696052759885788,0.2016867394985027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03640546321868897,0.0,0.1652812762798137
0,7,0.1333709955215454,-0.6016493439674377,0.6385149955749512,0.18651644885540009,0.20005279434572454,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023851039409637453,0.0,0.17620175493608708
0,8,-0.47730162739753723,-0.8153095841407776,0.7815427780151367,0.15924778580665588,0.1875076556463231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004397722184658051,0.0,0.18310993346166504
0,9,-0.34321004152297974,0.0340709462761879,0.6351513862609863,-0.26608970761299133,0.17344399831117696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00941770315170288,0.0,0.1640262951594741
0,10,0.10860400646924973,-0.9289371371269226,-0.48481452465057373,-0.4015246331691742,0.16469194968937928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024041869640350343,0.0,0.14065008004902893
0,11,-0.8770360350608826,0.8434422612190247,-0.7213950753211975,-0.06488016247749329,0.16338141180559662,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04282114505767822,0.0,0.1205602667479184
0,12,-0.5008229613304138,-0.8749921321868896,-0.7947387099266052,-0.9250397682189941,0.16667582167333395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0383980655670166,0.0,0.12827775610631734
0,13,0.8515654802322388,-0.2553711533546448,0.2575623393058777,0.6739838719367981,0.16795031369602886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05877098083496094,0.0,0.10917933286106793
0,14,0.6413227915763855,-0.31288692355155945,0.36311498284339905,-0.16473473608493805,0.1670904761212667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.007621002793312073,0.0,0.15946947332795464
0,15,0.3703959286212921,-0.3521297574043274,0.2819834053516388,-0.7534642815589905,0.16498931440857723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00428126186132431,0.0,0.16070805254725293
0,16,-0.8579559922218323,-0.4644661247730255,0.9134491086006165,0.27395832538604736,0.15747270647284695,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.029758143424987792,0.0,0.12771456304785916
0,17,0.06843918561935425,-0.8991477489471436,-0.13524307310581207,0.4148503839969635,0.14686836092549538,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02166762113571167,0.0,0.12520073978978372
0,18,0.27430304884910583,0.5394836664199829,-0.8863499760627747,0.1665271520614624,0.14544353543790278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027378661632537844,0.0,0.11806487380536494
0,19,-0.7277899980545044,0.007363469339907169,-0.39963653683662415,-0.9459036588668823,0.15110992962025505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.027617347240448,0.0,0.12349258237980705
0,20,-0.9462909698486328,-0.2169983834028244,-0.8389091491699219,-0.12714338302612305,0.15499348198883622,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.009614096879959106,0.0,0.14537938510887713
0,21,-0.5279247760772705,0.2973220944404602,0.43957945704460144,-0.10366465896368027,0.15713436073862364,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020746402740478516,0.0,0.13638795799814513
0,22,0.7759488224983215,0.7956873774528503,-0.6750381588935852,0.5503244996070862,0.16441999712221578,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03618528127670288,0.0,0.12823471584551288
0,23,-0.15983858704566956,0.7250151634216309,0.6581273078918457,0.1538374423980713,0.17585189803422607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.028152248859405517,0.0,0.14769964917482056
0,24,0.8577760457992554,-0.49658113718032837,-0.7541623115539551,-0.0019314528908580542,0.18611168957216495,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.045466628074646,0.0,0.14064506149751896
0,25,0.07193318754434586,-0.3984869122505188,0.41240811347961426,0.17633867263793945,0.19264057868701534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02019838094711304,0.0,0.1724421977399023
0,26,0.2733454704284668,-0.9161405563354492,-0.8244205713272095,-0.7180172801017761,0.1939743435811948,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.026381499767303467,0.0,0.16759284381389133
0,27,0.12781301140785217,-0.5132243633270264,0.6149250864982605,-0.7270238995552063,0.1930863169042184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022553181648254397,0.0,0.170533135255964
0,28,0.13776333630084991,0.007674435619264841,0.9447444081306458,-0.37423792481422424,0.18873406628153921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.005046733021736145,0.0,0.18368733325980308
0,29,-0.27308425307273865,0.48902636766433716,0.9848511219024658,-0.5077186226844788,0.183596495382503,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00419921100139618,0.0,0.17939728438110683
0,30,0.6693992018699646,0.6052749752998352,0.2913862466812134,0.35120993852615356,0.1830327286845116,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.021204404830932617,0.0,0.16182832385357898
0,31,-0.5981899499893188,-0.9214540719985962,0.3949801027774811,-0.1658974289894104,0.18229684451877892,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04215815544128418,0.0,0.14013868907749474
0,32,-0.1992783546447754,-0.5916526317596436,-0.34644052386283875,-0.029067950323224068,0.17722491030674725,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008363263010978698,0.0,0.16886164729576855
0,33,0.8629059791564941,-0.06103109195828438,0.9482793211936951,-0.48256173729896545,0.17320823924149187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.032917509078979494,0.0,0.14029073016251237
0,34,-0.47396543622016907,0.43751025199890137,-0.6116709113121033,0.567805826663971,0.17353265190380884,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05572485446929932,0.0,0.11780779743450953
0,35,-0.18586081266403198,-0.9906542301177979,-0.2921626567840576,-0.7855821847915649,0.17564001834082332,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04056403160095215,0.0,0.13507598673987117
0,36,0.34526708722114563,-0.7587625980377197,-0.28598326444625854,0.6122766733169556,0.1738760160079671,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022899181842803956,0.0,0.15097683416516314
0,37,-0.21307359635829926,0.12345392256975174,0.07883753627538681,-0.29512131214141846,0.17238021791672553,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02046515464782715,0.0,0.1519150632688984
0,38,0.6977777481079102,0.8618673086166382,0.9636302590370178,-0.029273804277181625,0.17432195186047117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.022284376621246337,0.0,0.15203757523922484
0,39,0.47391581535339355,-0.15188467502593994,0.8873519897460938,-0.9717155694961548,0.17433087125311542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019718220233917238,0.0,0.1546126510191982
0,40,-0.6389309167861938,-0.030963681638240814,-0.03449283540248871,0.10712464153766632,0.1716012312670342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03266743898391724,0.0,0.13893379228311695
0,41,-0.8761661052703857,0.7299987077713013,-0.3413231670856476,-0.282693475484848,0.17444778953390183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.008814473152160645,0.0,0.1656333163817412
0,42,0.08925420045852661,0.9065374732017517,-0.39889585971832275,-0.6922219395637512,0.18611250802449053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011342304944992066,0.0,0.17477020307949848
0,43,0.21415433287620544,0.34128302335739136,-0.1882198452949524,-0.35524964332580566,0.19990588116519148,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.004930473864078522,0.0,0.19497540730111296
0,44,-0.5040310025215149,0.1055702492594719,-0.05460561439394951,-0.5963575839996338,0.20744580037028726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00647336483001709,0.0,0.20097243554027017
0,45,0.8566033840179443,0.2826276421546936,-0.7975620031356812,-0.46480223536491394,0.21658437262716346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.024519660472869874,0.0,0.19206471215429358
0,46,0.5030791163444519,0.958794891834259,0.6713817119598389,0.4313890039920807,0.23475739956250186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03543136119842529,0.0,0.19932603836407656
0,47,-0.7383456230163574,0.3179546296596527,0.711464524269104,0.6494084000587463,0.24888160896853273,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.020009508132934572,0.0,0.22887210083559817
0,48,0.2978832423686981,0.43278810381889343,-0.8528783321380615,-0.4917474687099457,0.2599585746540233,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04836362361907959,0.0,0.2115949510349437
0,49,-0.8397170305252075,0.8235989212989807,0.2253914475440979,-0.352688193321228,0.2752153831493067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02628870725631714,0.0,0.24892667589298959
0,50,0.7787696123123169,-0.14095832407474518,0.5158039331436157,0.8791580200195312,0.28228576822180274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.051516542434692385,0.0,0.23076922578711034
0,51,-0.36758407950401306,-0.8999385237693787,0.9369918704032898,-0.5568562746047974,0.27428066302628684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.04129714012145996,0.0,0.23298352290482688
0,52,0.004227811470627785,-0.26196059584617615,-0.1098891943693161,-0.12510910630226135,0.2625675532007534,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01827625632286072,0.0,0.2442912968778927
0,53,-0.739568293094635,0.9726890921592712,-0.2687912583351135,-0.3235127329826355,0.2629788212967349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.02142206430435181,0.0,0.24155675699238308
0,54,-0.8955980539321899,0.0515928789973259,0.7912248969078064,0.417530357837677,0.26115541225264427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.025455427169799805,0.0,0.23569998508284445
0,55,0.5113086104393005,-0.9433521032333374,0.7945440411567688,-0.4879019260406494,0.2466744052715525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.037891201972961426,0.0,0.20878320329859107
0,56,-0.36253851652145386,0.757472813129425,0.05782812833786011,0.7637279629707336,0.2357609643215729,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.05765742301940918,0.0,0.17810354130216371
0,57,0.23180299997329712,-0.05770474672317505,0.4417973458766937,-0.12389840185642242,0.2330737662957839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019530692100524903,0.0,0.213543074195259
0,58,0.8364232182502747,-0.2897944152355194,0.1291726529598236,0.9921985864639282,0.2319283518300168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.017628378868103027,0.0,0.21429997296191378
0,59,0.4978378415107727,-0.12687164545059204,-0.3146889805793762,-0.8261644244194031,0.23535005721675428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03644640922546387,0.0,0.1989036479912904
0,60,0.9902065396308899,-0.7957126498222351,-0.5221680402755737,0.1998750865459442,0.24262259059690194,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01785579800605774,0.0,0.2247667925908442
0,61,-0.8540663123130798,-0.913247287273407,-0.1758718490600586,-0.00945383869111538,0.24506064158405905,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.03578896522521973,0.0,0.2092716763588393
0,62,-0.09967440366744995,0.04575595259666443,-0.3384385108947754,-0.5962967276573181,0.24312610075675345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.018596067428588867,0.0,0.22453003332816457
0,63,0.7365752458572388,0.6742042303085327,0.17654694616794586,-0.31566122174263,0.24796349606256562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.014382270574569702,0.0,0.23358122548799592
0,64,-0.4878775477409363,0.43846139311790466,0.21077609062194824,0.3231034278869629,0.2567003279518576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.019640510082244874,0.0,0.23705981786961272
0,65,0.6873988509178162,0.6176292896270752,0.3951549530029297,-0.620006799697876,0.26504296172560216,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.023368282318115236,0.0,0.2416746794074869
0,66,0.5117145776748657,0.2720036208629608,0.06176341325044632,0.005129734519869089,0.2751172008735667,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.006522676944732666,0.0,0.26859452392883404
0,67,0.278561532497406,0.7642837762832642,-0.8772714138031006,-0.674087643623352,0.29248111146907985,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.01639822721481323,0.0,0.27608288425426664
0,68,0.0979514867067337,0.6053740382194519,0.6873535513877869,0.4910484552383423,0.3146656017387933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.038634657859802246,0.0,0.2760309438789911
0,69,0.07531023770570755,0.08762069046497345,-0.1116345003247261,0.9834011793136597,0.3265944783034592,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.011493743658065795,0.0,0.31510073464539345
0,70,-0.772957444190979,0.5312590003013611,0.26276353001594543,-0.9753590226173401,0.33153840059951223,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.048932886123657225,0.0,0.282605514475855
